key,authors,year,title,journal,doi,url,function,category,recent_window,status
Madow1944,"William G. Madow; Lillian H. Madow",1944,"On the Theory of Systematic Sampling, I","The Annals of Mathematical Statistics",10.1214/aoms/1177731312,https://doi.org/10.1214/aoms/1177731312,"Definição da amostragem sistemática","Fundacional",false,"Mantida por introduzir o método"
ShimabukuroSmith1991,"Yosio Edemir Shimabukuro; James A. Smith",1991,"The least-squares mixing models to generate fraction images derived from remote sensing multispectral data","IEEE Transactions on Geoscience and Remote Sensing",10.1109/36.103288,https://doi.org/10.1109/36.103288,"Fundamento de endmembers e imagens-fração de vegetação, solo e sombra","Fundacional",false,"Mantida como contribuição fundacional da mistura espectral"
Cleveland1990,"Robert B. Cleveland; William S. Cleveland; Jean E. McRae; Irma Terpenning",1990,"STL: A Seasonal-Trend Decomposition Procedure Based on Loess","Journal of Official Statistics",,,"Definição da decomposição STL","Fundacional",false,"Mantida; publicação original sem DOI atribuído"
Kruse1993,"Fred A. Kruse; A. B. Lefkoff; J. W. Boardman; K. B. Heidebrecht; A. T. Shapiro; P. J. Barloon; Alexander F. H. Goetz",1993,"The Spectral Image Processing System (SIPS)—Interactive Visualization and Analysis of Imaging Spectrometer Data","Remote Sensing of Environment",10.1016/0034-4257(93)90013-N,https://doi.org/10.1016/0034-4257(93)90013-N,"Definição do ângulo espectral SAM","Fundacional",false,"Mantida por introduzir a métrica usada"
Wang2006,"Xiaozhe Catherine Wang; Kate Amanda Smith; Robin John Hyndman",2006,"Characteristic-Based Clustering for Time Series Data","Data Mining and Knowledge Discovery",10.1007/s10618-005-0039-x,https://doi.org/10.1007/s10618-005-0039-x,"Definição das forças de sazonalidade e tendência","Fundacional",false,"Mantida por introduzir as métricas FS e FT"
Boardman1995,"Joseph W. Boardman; Fred A. Kruse; Robert O. Green",1995,"Mapping Target Signatures via Partial Unmixing of AVIRIS Data","Summaries of the Fifth Annual JPL Airborne Earth Science Workshop",,https://ntrs.nasa.gov/citations/19950027316,"Publicação original do PPI e da contagem de extremos em projeções aleatórias","Fundacional",false,"Mantida como fonte original; publicação sem DOI atribuído"
Almeida2016,"Cláudio Aparecido de Almeida; Alexandre Camargo Coutinho; Júlio César Dalla Mora Esquerdo; Marcos Adami; Adriano Venturieri; Cesar Guerreiro Diniz; Nadine Dessay; Laurent Durieux; Alessandra Rodrigues Gomes",2016,"High spatial resolution land use and land cover mapping of the Brazilian Legal Amazon in 2008 using Landsat-5/TM and MODIS data","Acta Amazonica",10.1590/1809-4392201505504,https://doi.org/10.1590/1809-4392201505504,"Fonte primária canônica do TerraClass Amazônia","Produto canônico",false,"Mantida como fonte primária do dado temático"
Vinhas2017,"Lubia Vinhas; Gilberto Ribeiro de Queiroz; Karine Reis Ferreira; Gilberto Câmara",2017,"Web Services for Big Earth Observation Data","Revista Brasileira de Cartografia",10.14393/rbcv69n5-44004,https://doi.org/10.14393/rbcv69n5-44004,"Definição do serviço WTSS","Serviço canônico",false,"Mantida como fonte primária do serviço"
Small2022,"Christopher Small; Daniel Sousa",2022,"The Sentinel 2 MSI Spectral Mixing Space","Remote Sensing",10.3390/rs14225748,https://doi.org/10.3390/rs14225748,"Contexto contemporâneo do espaço de mistura Sentinel-2","Contemporânea",true,"Publicada em novembro de 2022"
Goncalves2023,"Nathan B. Gonçalves; Ricardo Dalagnol; Jin Wu; Aline Pontes-Lopes; Scott C. Stark; Bruce W. Nelson",2023,"Amazon forest spectral seasonality is consistent across sensor resolutions and driven by leaf demography","ISPRS Journal of Photogrammetry and Remote Sensing",10.1016/j.isprsjprs.2022.12.001,https://doi.org/10.1016/j.isprsjprs.2022.12.001,"Contexto contemporâneo da sazonalidade espectral amazônica","Contemporânea",true,"Dentro da janela móvel"
Gomes2024,"Vitor C. F. Gomes; Gilberto R. Queiroz; Karine R. Ferreira; Edzer Pebesma; Claudio C. F. Barbosa",2024,"Brazil Data Cube Workflow Engine: a tool for big Earth observation data processing","International Journal of Digital Earth",10.1080/17538947.2024.2313099,https://doi.org/10.1080/17538947.2024.2313099,"Contexto atual da infraestrutura Brazil Data Cube","Contemporânea",true,"Substitui referência contextual do BDC anterior à janela"
Galvao2024,"Lênio Soares Galvão; Caio Arlanche Petri; Ricardo Dalagnol",2024,"Coupled effects of solar illumination and phenology on vegetation index determination: an analysis over the Amazonian forests using the SuperDove satellite constellation","GIScience & Remote Sensing",10.1080/15481603.2023.2290354,https://doi.org/10.1080/15481603.2023.2290354,"Efeitos concorrentes de iluminação e fenologia na Amazônia","Contemporânea",true,"Dentro da janela móvel"
Wan2024,"Liang Wan; Youngryel Ryu; Benjamin Dechant; Jeongho Lee; Zilong Zhong; Huaize Feng",2024,"Improving retrieval of leaf chlorophyll content from Sentinel-2 and Landsat-7/8 imagery by correcting for canopy structural effects","Remote Sensing of Environment",10.1016/j.rse.2024.114048,https://doi.org/10.1016/j.rse.2024.114048,"Sensibilidade espectral e confundimento por estrutura do dossel","Contemporânea",true,"Dentro da janela móvel"
Hase2022,"Nina Hase; Daniel Doktor; Corinna Rebmann; Benjamin Dechant; Hannes Mollenhauer; Matthias Cuntz",2022,"Identifying the main drivers of the seasonal decline of near-infrared reflectance of a temperate deciduous forest","Agricultural and Forest Meteorology",10.1016/j.agrformet.2021.108746,https://doi.org/10.1016/j.agrformet.2021.108746,"Interpretação concorrente de estrutura, sub-bosque e geometria no NIR","Contemporânea",true,"Publicada em 2022"
Miao2024,"Jing Miao; Jun Wang; Donglei Zhao; Zhen Shen; Huan Xiang; Chao Gao; Wei Li; Lijuan Cui; Guofeng Wu",2024,"Modeling strategies and influencing factors in retrieving canopy equivalent water thickness of mangrove forest with Sentinel-2 image","Ecological Indicators",10.1016/j.ecolind.2023.111497,https://doi.org/10.1016/j.ecolind.2023.111497,"Sensibilidade conjunta de red edge, NIR e SWIR e necessidade de modelagem biofísica","Contemporânea",true,"Dentro da janela móvel"
