class_code,date,active_vegetation_endmembers,candidate_ids,reviewed_at
"11","2017-01-01","NENHUM","","2026-08-15T21:24:14.741Z"
"11","2017-01-17","EM02","TCAMZ_C11_D20170117_PPI_EM02","2026-08-15T21:24:17.141Z"
"11","2017-02-02","EM02|EM04","TCAMZ_C11_D20170202_PPI_EM02|TCAMZ_C11_D20170202_PPI_EM04","2026-08-15T21:24:44.917Z"
"11","2017-02-18","EM02|EM03","TCAMZ_C11_D20170218_PPI_EM02|TCAMZ_C11_D20170218_PPI_EM03","2026-08-15T21:24:50.509Z"
"11","2017-03-06","EM02","TCAMZ_C11_D20170306_PPI_EM02","2026-08-15T21:25:05.749Z"
"11","2017-03-22","EM02|EM04","TCAMZ_C11_D20170322_PPI_EM02|TCAMZ_C11_D20170322_PPI_EM04","2026-08-15T21:25:09.669Z"
"11","2017-04-07","EM03","TCAMZ_C11_D20170407_PPI_EM03","2026-08-15T21:25:12.037Z"
"11","2017-04-23","EM02","TCAMZ_C11_D20170423_PPI_EM02","2026-08-15T21:25:15.037Z"
"11","2017-05-09","EM01","TCAMZ_C11_D20170509_PPI_EM01","2026-08-15T21:25:16.413Z"
"11","2017-05-25","EM03","TCAMZ_C11_D20170525_PPI_EM03","2026-08-15T21:25:18.453Z"
"11","2017-06-10","EM02","TCAMZ_C11_D20170610_PPI_EM02","2026-08-15T21:25:22.324Z"
"11","2017-06-26","EM03","TCAMZ_C11_D20170626_PPI_EM03","2026-08-15T21:25:23.917Z"
"11","2017-07-12","EM01","TCAMZ_C11_D20170712_PPI_EM01","2026-08-15T21:25:25.213Z"
"11","2017-07-28","NENHUM","","2026-08-15T21:25:26.485Z"
"11","2017-08-13","EM03","TCAMZ_C11_D20170813_PPI_EM03","2026-08-15T21:25:29.053Z"
"11","2017-08-29","EM01","TCAMZ_C11_D20170829_PPI_EM01","2026-08-15T21:25:31.197Z"
"11","2017-09-14","EM03|EM04","TCAMZ_C11_D20170914_PPI_EM03|TCAMZ_C11_D20170914_PPI_EM04","2026-08-15T21:25:42.701Z"
"11","2017-09-30","EM03","TCAMZ_C11_D20170930_PPI_EM03","2026-08-15T21:25:44.845Z"
"11","2017-10-16","EM03","TCAMZ_C11_D20171016_PPI_EM03","2026-08-15T21:25:46.589Z"
"11","2017-11-01","NENHUM","","2026-08-15T21:25:54.357Z"
"11","2017-11-17","EM02","TCAMZ_C11_D20171117_PPI_EM02","2026-08-15T21:25:56.749Z"
"11","2017-12-03","NENHUM","","2026-08-15T21:25:57.701Z"
"11","2017-12-19","EM04","TCAMZ_C11_D20171219_PPI_EM04","2026-08-15T21:26:01.581Z"
"11","2018-01-01","NENHUM","","2026-08-15T21:26:02.989Z"
"11","2018-01-17","EM03","TCAMZ_C11_D20180117_PPI_EM03","2026-08-15T21:26:05.493Z"
"11","2018-02-02","EM02","TCAMZ_C11_D20180202_PPI_EM02","2026-08-15T21:26:06.493Z"
"11","2018-02-18","EM04","TCAMZ_C11_D20180218_PPI_EM04","2026-08-15T21:26:08.933Z"
"11","2018-03-06","EM03","TCAMZ_C11_D20180306_PPI_EM03","2026-08-15T21:26:09.717Z"
"11","2018-03-22","EM03","TCAMZ_C11_D20180322_PPI_EM03","2026-08-15T21:26:10.549Z"
"11","2018-04-07","EM03","TCAMZ_C11_D20180407_PPI_EM03","2026-08-15T21:26:11.197Z"
"11","2018-04-23","EM02","TCAMZ_C11_D20180423_PPI_EM02","2026-08-15T21:26:12.293Z"
"11","2018-05-09","EM03","TCAMZ_C11_D20180509_PPI_EM03","2026-08-15T21:26:22.941Z"
"11","2018-05-25","EM02","TCAMZ_C11_D20180525_PPI_EM02","2026-08-15T21:26:24.581Z"
"11","2018-06-10","EM04","TCAMZ_C11_D20180610_PPI_EM04","2026-08-15T21:26:26.013Z"
"11","2018-06-26","EM04","TCAMZ_C11_D20180626_PPI_EM04","2026-08-15T21:26:27.773Z"
"11","2018-07-12","NENHUM","","2026-08-15T21:26:32.589Z"
"11","2018-07-28","EM04","TCAMZ_C11_D20180728_PPI_EM04","2026-08-15T21:26:52.533Z"
"11","2018-08-13","EM03","TCAMZ_C11_D20180813_PPI_EM03","2026-08-15T21:26:53.749Z"
"11","2018-08-29","EM02","TCAMZ_C11_D20180829_PPI_EM02","2026-08-15T21:26:54.565Z"
"11","2018-09-14","NENHUM","","2026-08-15T21:26:55.549Z"
"11","2018-09-30","NENHUM","","2026-08-15T21:26:57.125Z"
"11","2018-10-16","EM03","TCAMZ_C11_D20181016_PPI_EM03","2026-08-15T21:26:58.189Z"
"11","2018-11-01","EM02","TCAMZ_C11_D20181101_PPI_EM02","2026-08-15T21:26:59.973Z"
"11","2018-11-17","EM03","TCAMZ_C11_D20181117_PPI_EM03","2026-08-15T21:27:01.093Z"
"11","2018-12-03","EM03","TCAMZ_C11_D20181203_PPI_EM03","2026-08-15T21:27:02.717Z"
"11","2018-12-19","EM03","TCAMZ_C11_D20181219_PPI_EM03","2026-08-15T21:27:03.677Z"
"11","2019-01-01","EM02","TCAMZ_C11_D20190101_PPI_EM02","2026-08-15T21:27:04.596Z"
"11","2019-01-17","EM03","TCAMZ_C11_D20190117_PPI_EM03","2026-08-15T21:27:05.661Z"
"11","2019-02-02","EM02","TCAMZ_C11_D20190202_PPI_EM02","2026-08-15T21:27:06.733Z"
"11","2019-02-18","NENHUM","","2026-08-15T21:27:19.037Z"
"11","2019-03-06","EM02","TCAMZ_C11_D20190306_PPI_EM02","2026-08-15T21:27:24.517Z"
"11","2019-03-22","EM02","TCAMZ_C11_D20190322_PPI_EM02","2026-08-15T21:27:31.636Z"
"11","2019-04-07","EM03","TCAMZ_C11_D20190407_PPI_EM03","2026-08-15T21:27:33.492Z"
"11","2019-04-23","EM03|EM04","TCAMZ_C11_D20190423_PPI_EM03|TCAMZ_C11_D20190423_PPI_EM04","2026-08-15T21:27:35.012Z"
"11","2019-05-09","EM03","TCAMZ_C11_D20190509_PPI_EM03","2026-08-15T21:27:36.564Z"
"11","2019-05-25","EM03","TCAMZ_C11_D20190525_PPI_EM03","2026-08-15T21:27:37.365Z"
"11","2019-06-10","EM03","TCAMZ_C11_D20190610_PPI_EM03","2026-08-15T21:27:38.292Z"
"11","2019-06-26","EM03","TCAMZ_C11_D20190626_PPI_EM03","2026-08-15T21:27:39.669Z"
"11","2019-07-12","NENHUM","","2026-08-15T21:27:40.861Z"
"11","2019-07-28","EM01","TCAMZ_C11_D20190728_PPI_EM01","2026-08-15T21:27:42.324Z"
"11","2019-08-13","EM03","TCAMZ_C11_D20190813_PPI_EM03","2026-08-15T21:27:43.604Z"
"11","2019-08-29","NENHUM","","2026-08-15T21:27:44.564Z"
"11","2019-09-14","NENHUM","","2026-08-15T21:27:45.892Z"
"11","2019-09-30","NENHUM","","2026-08-15T21:27:47.340Z"
"11","2019-10-16","NENHUM","","2026-08-15T21:27:48.292Z"
"11","2019-11-01","EM03","TCAMZ_C11_D20191101_PPI_EM03","2026-08-15T21:27:51.380Z"
"11","2019-11-17","EM01","TCAMZ_C11_D20191117_PPI_EM01","2026-08-15T21:27:53.813Z"
"11","2019-12-03","EM02","TCAMZ_C11_D20191203_PPI_EM02","2026-08-15T21:27:55.060Z"
"11","2019-12-19","NENHUM","","2026-08-15T21:28:03.036Z"
"11","2020-01-01","EM02","TCAMZ_C11_D20200101_PPI_EM02","2026-08-15T21:28:05.644Z"
"11","2020-01-17","EM02","TCAMZ_C11_D20200117_PPI_EM02","2026-08-15T21:28:07.172Z"
"11","2020-02-02","EM03","TCAMZ_C11_D20200202_PPI_EM03","2026-08-15T21:28:08.469Z"
"11","2020-02-18","EM02","TCAMZ_C11_D20200218_PPI_EM02","2026-08-15T21:28:19.684Z"
"11","2020-03-05","EM02","TCAMZ_C11_D20200305_PPI_EM02","2026-08-15T21:28:20.724Z"
"11","2020-03-21","EM01","TCAMZ_C11_D20200321_PPI_EM01","2026-08-15T21:28:29.372Z"
"11","2020-04-06","EM03","TCAMZ_C11_D20200406_PPI_EM03","2026-08-15T21:28:33.124Z"
"11","2020-04-22","EM03","TCAMZ_C11_D20200422_PPI_EM03","2026-08-15T21:28:33.932Z"
"11","2020-05-08","EM02","TCAMZ_C11_D20200508_PPI_EM02","2026-08-15T21:28:36.221Z"
"11","2020-05-24","EM02","TCAMZ_C11_D20200524_PPI_EM02","2026-08-15T21:28:37.260Z"
"11","2020-06-09","EM03","TCAMZ_C11_D20200609_PPI_EM03","2026-08-15T21:28:38.436Z"
"11","2020-06-25","EM03","TCAMZ_C11_D20200625_PPI_EM03","2026-08-15T21:28:39.196Z"
"11","2020-07-11","EM04","TCAMZ_C11_D20200711_PPI_EM04","2026-08-15T21:28:41.500Z"
"11","2020-07-27","EM03","TCAMZ_C11_D20200727_PPI_EM03","2026-08-15T21:28:42.444Z"
"11","2020-08-12","EM03","TCAMZ_C11_D20200812_PPI_EM03","2026-08-15T21:28:43.548Z"
"11","2020-08-28","EM04","TCAMZ_C11_D20200828_PPI_EM04","2026-08-15T21:28:47.180Z"
"11","2020-09-13","EM03|EM04","TCAMZ_C11_D20200913_PPI_EM03|TCAMZ_C11_D20200913_PPI_EM04","2026-08-15T21:28:49.748Z"
"11","2020-09-29","EM03","TCAMZ_C11_D20200929_PPI_EM03","2026-08-15T21:28:51.092Z"
"11","2020-10-15","EM03","TCAMZ_C11_D20201015_PPI_EM03","2026-08-15T21:28:51.972Z"
"11","2020-10-31","EM02","TCAMZ_C11_D20201031_PPI_EM02","2026-08-15T21:28:52.773Z"
"11","2020-11-16","EM04","TCAMZ_C11_D20201116_PPI_EM04","2026-08-15T21:28:53.844Z"
"11","2020-12-02","EM02","TCAMZ_C11_D20201202_PPI_EM02","2026-08-15T21:28:54.716Z"
"11","2020-12-18","EM04","TCAMZ_C11_D20201218_PPI_EM04","2026-08-15T21:28:55.548Z"
"11","2021-01-01","EM03","TCAMZ_C11_D20210101_PPI_EM03","2026-08-15T21:28:56.748Z"
"11","2021-01-17","EM03","TCAMZ_C11_D20210117_PPI_EM03","2026-08-15T21:28:58.412Z"
"11","2021-02-02","NENHUM","","2026-08-15T21:29:00.764Z"
